forest_name,species,present
Los Padres National Forest,celastrina_echo,TRUE
Malheur National Forest,celastrina_echo,FALSE
Manti-La Sal National Forest,celastrina_echo,TRUE
Medicine Bow-Routt National Forest,celastrina_echo,TRUE
Mendocino National Forest,celastrina_echo,TRUE
Modoc National Forest,celastrina_echo,TRUE
Mt. Baker-Snoqualmie National Forest,celastrina_echo,TRUE
Mt. Hood National Forest,celastrina_echo,TRUE
Nebraska National Forest,celastrina_echo,TRUE
Nez Perce-Clearwater National Forest,celastrina_echo,TRUE
Ochoco National Forest,celastrina_echo,FALSE
Okanogan-Wenatchee National Forest,celastrina_echo,TRUE
Olympic National Forest,celastrina_echo,TRUE
Payette National Forest,celastrina_echo,TRUE
Pike and San Isabel National Forests,celastrina_echo,TRUE
Plumas National Forest,celastrina_echo,TRUE
Prescott National Forest,celastrina_echo,TRUE
Rio Grande National Forest,celastrina_echo,TRUE
Rogue River-Siskiyou National Forests,celastrina_echo,TRUE
Salmon-Challis National Forest,celastrina_echo,TRUE
San Bernardino National Forest,celastrina_echo,TRUE
San Juan National Forest,celastrina_echo,TRUE
Santa Fe National Forest,celastrina_echo,TRUE
Sawtooth National Forest,celastrina_echo,TRUE
Sequoia National Forest,celastrina_echo,TRUE
Shasta-Trinity National Forest,celastrina_echo,TRUE
Shoshone National Forest,celastrina_echo,TRUE
Sierra National Forest,celastrina_echo,TRUE
Siuslaw National Forest,celastrina_echo,TRUE
Six Rivers National Forest,celastrina_echo,TRUE
Stanislaus National Forest,celastrina_echo,TRUE
Tahoe National Forest,celastrina_echo,TRUE
Tonto National Forest,celastrina_echo,TRUE
Uinta-Wasatch-Cache National Forest,celastrina_echo,TRUE
Umatilla National Forest,celastrina_echo,TRUE
Umpqua National Forest,celastrina_echo,TRUE
Wallowa-Whitman National Forest,celastrina_echo,TRUE
White River National Forest,celastrina_echo,FALSE
Willamette National Forest,celastrina_echo,TRUE
Angeles National Forest,colias_eurytheme,TRUE
Apache-Sitgreaves National Forests,colias_eurytheme,TRUE
Arapaho and Roosevelt National Forests,colias_eurytheme,TRUE
Ashley National Forest,colias_eurytheme,TRUE
